longitude,latitude,elevation,sensorID
-3.83093817,43.46341613,38.28498865,3070
-3.83091925,43.46348667,38.28498865,3071
-3.81140314,43.46304168,38.48194617,2051
-3.81114077,43.46316606,38.48194617,2049
-3.81157518,43.46319306,38.48194617,2050
-3.81141484,43.46374580,38.48194617,2055
-3.81114353,43.46387419,38.48194617,2054
-3.81097716,43.46373993,38.48194617,2053
-3.81098180,43.46370456,38.48194617,2052
-3.81123532,43.46357282,38.48194617,2056
-3.80958712,43.46210715,38.96757052,2057
-3.83328357,43.46010766,34.18000000,3072
-3.83325545,43.46006626,34.18000000,3073
-3.84853634,43.45542599,-3.49000000,4005
-3.81389879,43.45532551,38.56757100,1031
-3.83567291,43.46193756,95.24000000,3074
-3.83564302,43.46197176,95.24000000,3075
-3.83426959,43.46193283,95.24000000,3076
-3.83395025,43.46127540,95.24000000,3077
-3.83532968,43.46114281,95.24000000,3080
-3.83558872,43.46134213,95.24000000,3078
-3.83553056,43.46128712,95.24000000,3079
-3.79475454,43.47566393,48.34969099,3083
-3.79494866,43.47578352,48.34969099,3084
-3.79619188,43.47649753,48.34969099,3085
-3.79629850,43.47667918,48.34969099,3086
-3.80543378,43.47012384,34.19279972,3088
-3.80056521,43.47102795,39.35000000,3030
-3.86522207,43.45472986,26.66500000,4030
-3.86524794,43.45478234,26.66500000,4031
-3.86044001,43.45652559,26.66500000,4032
-3.86047562,43.45658050,26.66500000,4033
-3.83202775,43.45564345,38.53000000,1032
-3.83183439,43.45586733,38.53000000,1033
-3.83163567,43.45659091,84.36000000,1034
-3.83177962,43.45666804,84.36000000,1035
-3.83278918,43.45654586,84.36000000,1039
-3.83303523,43.45640042,38.53000000,1038
-3.83384898,43.45644566,38.53000000,1037
-3.83387313,43.45639502,38.53000000,1036
-3.83504435,43.45676665,38.53000000,1040
-3.83507812,43.45669857,38.53000000,1041
-3.81495511,43.45486941,38.56743569,1030
-3.80825646,43.47168122,84.36000000,3031
-3.80837830,43.47166541,84.36000000,3032
-3.81734818,43.46089716,38.53000000,2058
-3.81750956,43.46134732,38.53000000,2059
-3.81760335,43.46178800,38.53000000,2060
-3.81785102,43.46176940,38.53000000,2061
-3.81809626,43.46169435,38.53000000,2062
-3.81786274,43.46147284,38.53000000,2063
-3.81769515,43.46109862,38.53000000,2064
-3.81773351,43.46098194,38.53000000,2065
-3.81751951,43.46091652,38.53000000,2067
-3.81765992,43.46083844,38.53000000,2066
-3.81758369,43.46064723,38.53000000,2068
-3.81717962,43.46075239,38.53000000,2069
-3.80883503,43.45985636,38.55063698,2070
-3.80869030,43.46005664,38.55063698,2073
-3.80867564,43.46001764,38.55063698,2072
-3.80907218,43.45996469,38.55063698,2071
-3.85373350,43.44210411,42.00000000,5003
-3.85349100,43.44252959,42.00000000,5004
-3.85258472,43.44166900,42.00000000,5005
-3.85234044,43.44209675,42.00000000,5006
-3.85495385,43.44255852,42.00000000,5001
-3.85471008,43.44299547,42.00000000,5002
-3.85179205,43.44161008,42.00000000,5007
-3.85173317,43.44167323,42.00000000,5008
-3.85150399,43.44124760,42.00000000,5010
-3.85141707,43.44121426,42.00000000,5009
-3.85097904,43.44137595,42.00000000,5012
-3.85104076,43.44132840,42.00000000,5011
-3.85149544,43.44204370,42.00000000,5013
-3.85146673,43.44207536,42.00000000,5014
-3.85239502,43.44044213,42.00000000,5015
-3.85178311,43.44024942,42.00000000,5016
-3.85300773,43.43957845,42.00000000,5017
-3.85239272,43.43938405,42.00000000,5018
-3.85362177,43.43870926,37.22915248,5019
-3.85300354,43.43851943,42.00000000,5020
-3.85349617,43.43842409,42.00000000,5022
-3.85341182,43.43839724,42.00000000,5021
-3.85328690,43.43811540,42.00000000,5023
-3.85332611,43.43805399,42.00000000,5024
-3.85455755,43.43851692,42.00000000,5025
-3.85451384,43.43857570,42.00000000,5026
-3.85464008,43.43884230,42.00000000,5027
-3.85507838,43.43872484,42.00000000,5028
-3.85581060,43.43928711,42.00000000,5029
-3.79858707,43.48161099,42.00000000,6001
-3.80032146,43.48116787,42.00000000,6002
-3.80090200,43.48088723,42.00000000,6003
-3.80142522,43.48081668,42.00000000,6004
-3.80194799,43.48056733,42.00000000,6005
-3.80294683,43.48032771,42.00000000,6006
-3.80493561,43.47970574,42.00000000,6007
-3.81467269,43.45693966,37.55287743,1042
-3.82426364,43.45357674,26.66500000,1019
-3.82713690,43.45596509,38.54763914,2074
-3.82657627,43.45757306,38.53000000,2009
-3.82100071,43.46002183,8.30000000,2075
-3.79708635,43.46252774,38.60532357,2076
-3.79701786,43.46246349,38.60532357,2077
-3.81082691,43.46178891,45.12314627,2016
-3.80923421,43.46067157,39.76500000,2018
-3.82425435,43.46581194,47.57250000,3016
-3.81161698,43.46936708,84.36000000,3023
-3.81162831,43.46942059,84.36000000,3024
-3.80873491,43.46976736,34.19279972,3089
-3.79671827,43.46598028,29.03605299,2036
-3.79677056,43.46398852,39.39881042,2034
-3.82858713,43.46192767,2.00924268,3010
-3.82447101,43.46310943,29.13000000,3013
-3.81941283,43.46453846,19.71000000,3019
-3.81944804,43.46459272,19.71000000,3020
-3.81671887,43.46597480,38.53000000,3067
-3.81712446,43.46577795,38.53000000,3090
-3.81335559,43.46755136,33.97000000,3022
-3.81255743,43.46758840,33.97000000,3021
-3.80940323,43.46751889,38.83719889,3060
-3.80307610,43.46747717,37.44118945,3065
-3.80727705,43.46722273,10.15000000,3025
-3.80904649,43.46752965,38.83719889,3059
-3.82181141,43.46387811,29.13000000,3053
-3.82907288,43.46184828,2.00924268,3011
-3.82601320,43.46008714,77.75000000,3066
-3.83558460,43.46074148,95.24000000,3081
-3.83084794,43.45475337,42.00000000,1043
-3.82356396,43.45272683,26.66500000,1008
-3.81917591,43.45391861,38.16719783,1009
